chunk_id,page_url,page_title,question,answer,chunk_index,content_chunk,token_count
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Marathons & Other Racing Events,"An organized event like a marathon is a great way to crowdfund (fundraise) a social cause.
Check which of your supporters participate in marathons/racing events.
Reach out and give them the opportunity to crowdfund (fundraise online) their walk/run for your NGO.
We help them start an online fundraiser for your NGO.
They reach out to their network via social media to raise funds.
They help you spread awareness and raise funds.
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: Marathons & Other Racing Events**

An organized event like a marathon is a great way to crowdfund (fundraise) a social cause.

Check which of your supporters participate in marathons/racing events.

Reach out and give them the opportunity to crowdfund (fundraise online) their walk/run for your NGO.

We help them start an online fundraiser for your NGO.

They reach out to their network via social media to raise funds.

They help you spread awareness and raise funds.

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",140
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Corporate & Student Volunteers,"Give student volunteers the opportunity to nurture their social conscience and corporate volunteers the chance to earn CSR.
Check with your volunteers and see if they would like to crowdfund (fundraise online) for your NGO
We help them start an online fundraiser for your NGO
They reach out to their network via social media to raise funds
They help you spread awareness and raise funds
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: Corporate & Student Volunteers**

Give student volunteers the opportunity to nurture their social conscience and corporate volunteers the chance to earn CSR.

Check with your volunteers and see if they would like to crowdfund (fundraise online) for your NGO

We help them start an online fundraiser for your NGO

They reach out to their network via social media to raise funds

They help you spread awareness and raise funds

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",120
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Festivals/Awareness Days,"Make supporters aware of the many occasions they can use as a theme to start a crowdfunding fundraiser around. For instance, festivals like Diwali and Christmas, and awareness days like World Hunger Day, World AIDS Day etc. (Check our
blog for updates)
Check which festival/awareness day is around the corner (Check our
blog
for updates)
Reach out to supporters and make them aware of the festival/awareness day
Ask them if they would like to crowdfund (fundraise online) around that theme
We help them start an online fundraiser for your NGO
They reach out to their network via social media, spreading awareness and raising funds
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: Festivals/Awareness Days**

Make supporters aware of the many occasions they can use as a theme to start a crowdfunding fundraiser around. For instance, festivals like Diwali and Christmas, and awareness days like World Hunger Day, World AIDS Day etc. (Check our

blog for updates)

Check which festival/awareness day is around the corner (Check our

blog

for updates)

Reach out to supporters and make them aware of the festival/awareness day

Ask them if they would like to crowdfund (fundraise online) around that theme

We help them start an online fundraiser for your NGO

They reach out to their network via social media, spreading awareness and raising funds

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",181
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",E-Commerce,"Sell merchandise, mementos, artworks etc. to raise funds for your NGO
Start a fundraiser that lists what you have on sale
Reach out to your supporters via social media and share the fundraiser link
Ask them to support the fundraiser by buying items and/or sharing the link with their own network
They use our online and cash/cheque payment options
You can also raise funds and spread awareness on Ketto via selling donation tickets for your charity Dinner, artworks, mementos, memorabilia , ticket to events and many more
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: E-Commerce**

Sell merchandise, mementos, artworks etc. to raise funds for your NGO

Start a fundraiser that lists what you have on sale

Reach out to your supporters via social media and share the fundraiser link

Ask them to support the fundraiser by buying items and/or sharing the link with their own network

They use our online and cash/cheque payment options

You can also raise funds and spread awareness on Ketto via selling donation tickets for your charity Dinner, artworks, mementos, memorabilia , ticket to events and many more

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",153
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Employee Engagement Solutions,"Offer corporate sponsors a recruitment solution and a way to build employee engagement, with CSR.
Reach out to your corporate sponsors and check if they are interested in adding CSR to their employee engagement and team-building exercises
They can also have a microsite 'corporatesname.ketto.org' for added visibility
We help the corporate employees create fundraisers
They reach out to their networks asking for funds and raising awareness for your NGO
They raise funds and awareness for your NGO and cause
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: Employee Engagement Solutions**

Offer corporate sponsors a recruitment solution and a way to build employee engagement, with CSR.

Reach out to your corporate sponsors and check if they are interested in adding CSR to their employee engagement and team-building exercises

They can also have a microsite 'corporatesname.ketto.org' for added visibility

We help the corporate employees create fundraisers

They reach out to their networks asking for funds and raising awareness for your NGO

They raise funds and awareness for your NGO and cause

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",141
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Corporate Hiring Solutions,"Offer corporate sponsors a recruitment solution and a way to build employee engagement, with CSR.
Reach out to your corporate sponsors and check if they are interested in adding CSR to their recruitment process
They can also have a microsite 'corporatesname.ketto.org' for added visibility
They give prospective employees the task of starting a crowdfunding fundraiser
We help the corporate employees create fundraisers
The prospective employees reach out to their networks asking for funds and raising awareness for your NGO
They raise funds and awareness for your NGO and cause
Advantages
You reduce the cost of fundraising
You multiply your database when supporters reach out to their own networks
You raise more funds
You raise more awareness for your NGO and cause",0,"**Q: Corporate Hiring Solutions**

Offer corporate sponsors a recruitment solution and a way to build employee engagement, with CSR.

Reach out to your corporate sponsors and check if they are interested in adding CSR to their recruitment process

They can also have a microsite 'corporatesname.ketto.org' for added visibility

They give prospective employees the task of starting a crowdfunding fundraiser

We help the corporate employees create fundraisers

The prospective employees reach out to their networks asking for funds and raising awareness for your NGO

They raise funds and awareness for your NGO and cause

Advantages

You reduce the cost of fundraising

You multiply your database when supporters reach out to their own networks

You raise more funds

You raise more awareness for your NGO and cause",151
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",We meet again!,"Would you like to complete the fundraiser
from where you left off?",0,"**Q: We meet again!**

Would you like to complete the fundraiser

from where you left off?",22
https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php_0,https://www.ketto.org/how_it_works/fundraising-ideas-for-ngos.php,"Fundraising for NGO - Crowdfuning NGO, Ideas & Tips | Ketto - Ketto",Hey there!,"Is something stopping you from starting a fundraiser?
Call
02233578152
to get immediate assitance from our manager.",0,"**Q: Hey there!**

Is something stopping you from starting a fundraiser?

Call

02233578152

to get immediate assitance from our manager.",33
https://www.ketto.org/cause/fundraising-for-education?utm_source=404Page&utm_medium=404CTA&utm_campaign=404Tracking_0,https://www.ketto.org/cause/fundraising-for-education?utm_source=404Page&utm_medium=404CTA&utm_campaign=404Tracking,Fundraising For Education - Raise Funds For Education In India - Ketto,72 Lakh+,Contributors,0,"**Q: 72 Lakh+**

Contributors",11
https://www.ketto.org/cause/fundraising-for-education?utm_source=404Page&utm_medium=404CTA&utm_campaign=404Tracking_0,https://www.ketto.org/cause/fundraising-for-education?utm_source=404Page&utm_medium=404CTA&utm_campaign=404Tracking,Fundraising For Education - Raise Funds For Education In India - Ketto,3.2 Lakh+,Fundraisers,0,"**Q: 3.2 Lakh+**

Fundraisers",14
